matureform	total copies	rno_Cortex-adult,rno_Cortex-embryo,rno_Glioma-C6,rno_Hippocamp-adult,rno_Neurobl-B35,rno_Neurobl-B35-dcAMP,rno_Neurobl-B35-noFBS,rno_Neurobl-B35-RA,rno_Pheochrom-PC12,rno_Pheochrom-PC12-NGF,rno_Striatum-adult,rno_Striatum-embryo,rno_Thyroid-FRTL5,rno_Thyroid-FRTL5-Ras,rno_Thyroid-FRTL5-Ras-tamox-48h,rno_Thyroid-FRTL5-Ras-tamox-7d
rno-miR-151	21.000	0.00339,0.00000,0.00000,0.01091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00256,0.00450,0.00200,0.00000
rno-miR-152	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.00119,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-153	20.000	0.00903,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01128,0.00166,0.00000,0.00000,0.00000,0.00000
rno-miR-154	7.000	0.00113,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00501,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-155	6.000	0.00000,0.00079,0.00529,0.00000,0.00156,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-15a	356.000	0.00564,0.01032,0.04233,0.00000,0.04050,0.00196,0.00831,0.02017,0.05719,0.04288,0.00877,0.01495,0.04859,0.04798,0.03806,0.03258
rno-miR-15b	34.000	0.00000,0.00000,0.00529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00000,0.00125,0.00083,0.00256,0.00300,0.00951,0.00494
rno-miR-16	912.000	0.01354,0.00159,0.13404,0.01091,0.12461,0.01176,0.08638,0.10320,0.14385,0.12864,0.02130,0.01080,0.09335,0.12294,0.06385,0.10711
rno-miR-17	13.500	0.00000,0.00040,0.00176,0.00121,0.00389,0.00392,0.00249,0.00178,0.00000,0.00153,0.00063,0.00042,0.00000,0.00075,0.00000,0.00099
rno-miR-17-3p	9.000	0.00000,0.00079,0.00176,0.00000,0.00467,0.00392,0.00166,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
