matureform	total copies	rno_Cortex-adult,rno_Cortex-embryo,rno_Glioma-C6,rno_Hippocamp-adult,rno_Neurobl-B35,rno_Neurobl-B35-dcAMP,rno_Neurobl-B35-noFBS,rno_Neurobl-B35-RA,rno_Pheochrom-PC12,rno_Pheochrom-PC12-NGF,rno_Striatum-adult,rno_Striatum-embryo,rno_Thyroid-FRTL5,rno_Thyroid-FRTL5-Ras,rno_Thyroid-FRTL5-Ras-tamox-48h,rno_Thyroid-FRTL5-Ras-tamox-7d
rno-miR-511-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-532-3p	3.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-532-5p	13.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00980,0.00166,0.00119,0.00000,0.00000,0.00000,0.00000,0.00128,0.00000,0.00150,0.00197
rno-miR-539	1.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-540-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-540-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-541	2.000	0.00113,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-542-3p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-542-5p	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-543	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-544-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-547-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-551b-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-568-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-582-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-582-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-590-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-590-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-592-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-598-3p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-598-5p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-615-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-615-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-652	16.000	0.00113,0.00079,0.00000,0.00242,0.00000,0.00000,0.00166,0.00119,0.00000,0.00306,0.00000,0.00000,0.00512,0.00150,0.00150,0.00000
rno-miR-653-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-654-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-654-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-665-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-666-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-671	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-672	11.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.00384,0.00450,0.00150,0.00000
rno-miR-673	2.000	0.00000,0.00000,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-674-3p	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00119,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-674-5p	8.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00083,0.00256,0.00000,0.00100,0.00099
rno-miR-708	28.000	0.00339,0.01349,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00249,0.00000,0.00000,0.00050,0.00000
rno-miR-741-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-742	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-743a	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00150,0.00000,0.00000
rno-miR-743b-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-743b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-744	33.000	0.00113,0.00476,0.00353,0.00000,0.00467,0.00784,0.00000,0.00119,0.00347,0.00613,0.00125,0.00332,0.00384,0.00300,0.00000,0.00000
rno-miR-758	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-760-3p	5.000	0.00113,0.00079,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00099
rno-miR-760-5p	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-770	1.000	0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-7a	4.750	0.00000,0.00040,0.00000,0.00121,0.00078,0.00147,0.00000,0.00059,0.00000,0.00000,0.00125,0.00000,0.00064,0.00000,0.00000,0.00000
rno-miR-7a-3p	1.000	0.00000,0.00000,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-7a-5p	4.750	0.00000,0.00040,0.00000,0.00121,0.00078,0.00147,0.00000,0.00059,0.00000,0.00000,0.00125,0.00000,0.00064,0.00000,0.00000,0.00000
rno-miR-7b	1.500	0.00113,0.00000,0.00000,0.00000,0.00000,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-802-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-871-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-872	373.000	0.00000,0.00873,0.02822,0.00000,0.10280,0.24706,0.05482,0.09490,0.01386,0.01685,0.00125,0.00000,0.00384,0.00600,0.00551,0.00296
rno-miR-873	2.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00083,0.00000,0.00000,0.00000,0.00000
rno-miR-874-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-875-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-875-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-876-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-876-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-877	2.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00196,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-878	1.000	0.00000,0.00000,0.00000,0.00000,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-879	5.000	0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00459,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000
rno-miR-880	3.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00256,0.00000,0.00050,0.00000
rno-miR-881-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-882a-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-882b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-883-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-9	1256.000	0.12077,0.24683,0.07937,0.16606,0.11838,0.17059,0.10465,0.13998,0.00000,0.00000,0.10902,0.18688,0.00000,0.00000,0.00000,0.00000
rno-miR-92a	6.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00249,0.00128,0.00150,0.00000,0.00000
rno-miR-92b	4.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00376,0.00000,0.00128,0.00000,0.00000,0.00000
rno-miR-93	50.000	0.00000,0.00238,0.00529,0.00121,0.00312,0.00000,0.00831,0.00593,0.00693,0.00306,0.00000,0.00083,0.01918,0.00900,0.00000,0.00296
rno-miR-96	14.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00173,0.00459,0.00000,0.00000,0.00512,0.00000,0.00200,0.00197
rno-miR-98	6.000	0.00000,0.00079,0.00000,0.00121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00128,0.00000,0.00150,0.00000
rno-miR-99a	110.000	0.01129,0.03413,0.00176,0.01212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.01952,0.00320,0.00600,0.00150,0.01086
rno-miR-99b	322.000	0.00790,0.00317,0.02116,0.00970,0.00312,0.00196,0.02326,0.00474,0.01386,0.01072,0.01253,0.01163,0.09591,0.09595,0.03205,0.02764
