matureform	total copies	mmuxrno_Neurobl-NG-dcAMP,mmuxrno_Neurobl-NG-norm,mmuxrno_Neurobl-NG-RA,mmu_Adipo-diff,mmu_Adipo-undiff,mmu_Alpha-pancreas-TC1,mmu_B-cell-K1-Tg-naive,mmu_B-cell-K2-Tg-anergic,mmu_B-cell-K4-WT,mmu_B-cell-spleen-IL4LPS24h,mmu_B-cell-spleen-IL4LPS48h,mmu_B-cell-spleen-IL4LPS72h,mmu_B-cell-spleen-IL4LPS8h,mmu_B-cell-spleen-unstim,mmu_B-lymphoma-A20_NP,mmu_B-lymphoma-A20_OP,mmu_B-lymphoma-S11,mmu_B-lymphoma-S11E,mmu_Beta-pancreas-MIN6,mmu_Brain-FMR-KO,mmu_Brain-WT,mmu_Cerebellum,mmu_Colon,mmu_Cortex,mmu_DC-GCSF,mmu_DC-unstim,mmu_Embryo-E11,mmu_Embryo-E12,mmu_Embryonic-kidney,mmu_ESC-fem,mmu_ESC-WT-frac-21,mmu_Eye,mmu_Fibrobl-3T12-20,mmu_Fibrobl-3T12-200,mmu_Fibrobl-3T12-MuHV,mmu_Fibrobl-MEF-HSV1-12h,mmu_Fibrobl-MEF-HSV1-6h,mmu_Fibrobl-MEF-HSV2-12h,mmu_Fibrobl-MEF-mock,mmu_Glomeruli,mmu_Heart,mmu_Hippocamp-HT22,mmu_Kidney,mmu_Kidney-collecting-duct,mmu_Liver,mmu_Lung,mmu_Midbrain,mmu_Neurobl-N1E-noFBS,mmu_Neurobl-N1E-norm,mmu_Neurobl-N2A,mmu_Neurobl-N2A-RA,mmu_Neurobl-N2A-TPA,mmu_Ovary,mmu_Placenta,mmu_Podocytes-K8-diff,mmu_Podocytes-K8-undiff,mmu_Skin,mmu_Small-intestine,mmu_Spermatogonia-C18,mmu_Spinal-Cord,mmu_Spleen,mmu_T-cell-CD8-conA,mmu_T-cell-CD8-ctrl,mmu_T-cell-CD8-polyIC,mmu_Teratocarcinoma-F9,mmu_Teratocarcinoma-P19,mmu_Testis,mmu_Thymus
mmu-miR-124	1396.999	0.06936,0.04943,0.07806,0.00000,0.00000,0.07442,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10909,0.30079,0.28457,0.54348,0.00000,0.43158,0.00000,0.00000,0.05478,0.08871,0.00058,0.05970,0.00957,0.66667,0.00139,0.00000,0.00217,0.00086,0.00000,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.23810,0.05000,0.06447,0.00754,0.01724,0.02004,0.00000,0.00787,0.00000,0.00000,0.00000,0.09091,0.00000,0.36364,0.00000,0.00000,0.00000,0.00000,0.04095,0.00277,0.00520,0.00000
mmu-miR-125a-3p	35.000	0.00116,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00752,0.00124,0.00232,0.00000,0.00000,0.00000,0.01255,0.00000,0.00109,0.00172,0.00159,0.00000,0.00000,0.00000,0.00000,0.00138,0.00000,0.00000,0.00000,0.00000,0.00000,0.00143,0.00274,0.00000,0.00000,0.00601,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
mmu-miR-125a-5p	122.000	0.00231,0.00000,0.00269,0.01299,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00109,0.00000,0.00356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00296,0.00178,0.01087,0.00000,0.01053,0.00273,0.00205,0.00215,0.00062,0.00754,0.00000,0.00080,0.00000,0.00697,0.00135,0.00109,0.00258,0.00159,0.00373,0.00000,0.00473,0.00000,0.00415,0.01802,0.01130,0.00000,0.00000,0.00000,0.00571,0.00000,0.00151,0.00647,0.00000,0.00082,0.00000,0.01126,0.00808,0.01274,0.00000,0.00107,0.09091,0.00000,0.00000,0.00000,0.00115,0.00190,0.00092,0.00260,0.00000
mmu-miR-125b	208.500	0.00289,0.00380,0.00336,0.00649,0.02222,0.00000,0.00000,0.00000,0.00000,0.00049,0.00000,0.00226,0.00222,0.00060,0.00000,0.00000,0.00000,0.00062,0.00000,0.01085,0.01517,0.00000,0.00000,0.00526,0.00034,0.00000,0.00430,0.00434,0.00290,0.00000,0.00758,0.00000,0.03347,0.01279,0.01683,0.01330,0.01037,0.01494,0.01566,0.00000,0.00397,0.01176,0.00000,0.00166,0.00000,0.00000,0.00476,0.00214,0.00069,0.00151,0.00216,0.00301,0.00205,0.00000,0.00282,0.00202,0.00000,0.00000,0.00320,0.00000,0.01087,0.00000,0.00000,0.00057,0.00000,0.00000,0.00293,0.00000
mmu-miR-125b-3p	88.000	0.00694,0.00634,0.00404,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00197,0.00178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00107,0.00372,0.00174,0.00000,0.00159,0.00000,0.01534,0.00135,0.00217,0.00258,0.00159,0.00093,0.00108,0.00000,0.00000,0.01660,0.00000,0.00066,0.00000,0.00000,0.00000,0.00286,0.01646,0.00754,0.00000,0.00601,0.00082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00107,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
mmu-miR-125b-5p	210.500	0.00289,0.00380,0.00336,0.00649,0.02222,0.00000,0.00000,0.00000,0.00000,0.00049,0.00000,0.00226,0.00222,0.00060,0.00000,0.00000,0.00000,0.00062,0.00000,0.01085,0.01517,0.00000,0.00000,0.00526,0.00034,0.00000,0.00430,0.00434,0.00290,0.00000,0.00758,0.00000,0.03487,0.01279,0.01683,0.01416,0.01037,0.01494,0.01566,0.00000,0.00397,0.01176,0.00000,0.00166,0.00000,0.00000,0.00476,0.00214,0.00069,0.00151,0.00216,0.00301,0.00205,0.00000,0.00282,0.00202,0.00000,0.00000,0.00320,0.00000,0.01087,0.00000,0.00000,0.00057,0.00000,0.00000,0.00293,0.00000
mmu-miR-126-3p	1363.000	0.01850,0.02408,0.01480,0.01299,0.02222,0.00000,0.00328,0.00000,0.00339,0.00000,0.00109,0.00226,0.00000,0.00120,0.00000,0.00000,0.00064,0.00749,0.00000,0.04438,0.03836,0.01087,0.00000,0.00000,0.00000,0.00103,0.13319,0.08499,0.06145,0.01791,0.00319,0.00000,0.00558,0.00000,0.00000,0.00086,0.00000,0.00467,0.00000,0.18935,0.07143,0.00000,0.07207,0.00266,0.08000,0.11565,0.00952,0.00857,0.01372,0.02413,0.02802,0.01603,0.33854,0.10105,0.00113,0.00269,0.03185,0.00000,0.00000,0.00000,0.02174,0.00000,0.00094,0.00115,0.00095,0.00370,0.01919,0.04348
mmu-miR-126-5p	303.000	0.00347,0.00634,0.00000,0.00000,0.02222,0.00465,0.00000,0.00000,0.00000,0.00000,0.00218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.02071,0.01784,0.00000,0.00000,0.00000,0.00000,0.00000,0.02685,0.01055,0.03188,0.00000,0.00000,0.00000,0.00000,0.00135,0.00000,0.00000,0.00000,0.00000,0.00000,0.10888,0.00794,0.00000,0.00000,0.00000,0.06000,0.03401,0.00000,0.00429,0.00412,0.00302,0.00000,0.00000,0.00822,0.01181,0.00113,0.00135,0.00637,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00190,0.00000,0.00488,0.00000
mmu-miR-127	56.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02727,0.00296,0.00268,0.01087,0.00000,0.00000,0.00000,0.00000,0.00107,0.00000,0.00000,0.00299,0.00080,0.00000,0.00000,0.00404,0.00000,0.00172,0.00319,0.00747,0.00864,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00131,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00571,0.00370,0.00033,0.00000
mmu-miR-128a	19.500	0.00000,0.00000,0.00000,0.00000,0.00000,0.00465,0.00000,0.00000,0.00000,0.00098,0.00000,0.00000,0.00000,0.00000,0.00076,0.00000,0.00000,0.00000,0.00000,0.00296,0.00223,0.01630,0.00000,0.01579,0.00068,0.00000,0.00107,0.00155,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00046,0.00033,0.00000
